program type,PD mand,subsidy type,subsidy rule,tax method,acct tax exempt,guest election,paid sub amt,paid sub tax,paid cons amt,paid cons tax,paid PD amt,paid PD tax,tax reason code,state tax,county tax,city tax,district tax,total tax %,sub note,reference,,p,t,s,x1-Sub Amt,x2-Cons Amt,x3-Sub Tax,x4-Cons Tax,Matrix,Sum Cost,Sum Tax,Total
CashandCarry,#N/A,#N/A,#N/A,#N/A,Account is not Tax Exempt,#N/A,0.00,0.00,277.98,19.46,0.00,0.00,,7.000%,,,,7.000%,,53-1-84591,,,,,,,,,,,,
CashandCarry,#N/A,#N/A,#N/A,#N/A,Account is Tax Exempt,#N/A,,,,,,,,,,,,0.000%,,,,,Outputs,,,,,,,,,
CashandCarry,#N/A,#N/A,#N/A,#N/A,Account is not Tax Exempt,#N/A,,,,,,,,,,,,0.000%,,,,,Input Factors (Factors have discreet values),,,,,,,,,
CashandCarry,#N/A,#N/A,#N/A,#N/A,Account is Tax Exempt,#N/A,,,,,,,,,,,,0.000%,,,,,Input Variables (Continuous values--independant),,,,,,,,,
PayrollDeduction,No,#N/A,#N/A,TaxedUpToSubsidy,Account is not Tax Exempt,Must be entered,0.00,0.00,0.00,0.00,243.59,21.61,N/A,4.000%,,4.500%,0.375%,8.875%,,246-2-61941,,243.59,21.61,200.00,,,,,,,,
PayrollDeduction,No,#N/A,#N/A,TaxedUpToSubsidy,Account is not Tax Exempt,consumer paid,0.00,0.00,111.97,7.84,0.00,0.00,N/A,7.000%,,,,7.000%,,715-2-57953,,111.97,7.84,0.00,,,,,,,,
PayrollDeduction,No,#N/A,#N/A,TaxedUpToSubsidy,Account is Tax Exempt,Must be entered,,,,,,,,,,,,0.000%,,no accts found,,0.00,0.00,0.00,,,,,,,,
PayrollDeduction,Yes,#N/A,#N/A,TaxedUpToSubsidy,Account is not Tax Exempt,#N/A,0.00,0.00,0.00,0.00,200.89,16.58,N/A,6.250%,,1.000%,1.000%,8.250%,,460-1-69831,,200.89,16.58,0.00,,,,,,,,
PayrollDeduction,Yes,#N/A,#N/A,TaxedUpToSubsidy,Account is Tax Exempt,#N/A,,,,,,,,,,,,0.000%,,no transactions found,,0.00,0.00,0.00,,,,,,,,
PayrollDeduction,No,#N/A,#N/A,SubsidyTaxed,Account is not Tax Exempt,Must be entered,0.00,0.00,0.00,0.00,233.99,16.38,N/A,7.000%,,,,7.000%,,716-1-138415,,,,,,,,,,,,
PayrollDeduction,No,#N/A,#N/A,SubsidyTaxed,Account is not Tax Exempt,consumer paid,0.00,0.00,279.44,16.77,0.00,0.00,N/A,6.000%,,,,6.000%,,516-1-12286,,,,,,,,,,,,
PayrollDeduction,No,#N/A,#N/A,SubsidyTaxed,Account is Tax Exempt,Must be entered,0.00,0.00,0.00,0.00,208.24,0.00,ALL,7.000%,2.250%,,,9.250%,,890-1-38469,,,,,,,,,,,,
PayrollDeduction,No,#N/A,#N/A,SubsidyTaxed,Account is Tax Exempt,consumer paid,0.00,0.00,170.48,15.76,0.00,0.00,ALL,7.000%,2.250%,,,9.250%,,890-71-17425,,,,,,,,,,,,
PayrollDeduction,Yes,#N/A,#N/A,SubsidyTaxed,Account is not Tax Exempt,#N/A,0.00,0.00,0.00,0.00,184.99,18.50,N/A,4.000%,2.000%,4.000%,,10.000%,,401-1-110575,,,,,,,,,,,,
PayrollDeduction,Yes,#N/A,#N/A,SubsidyTaxed,Account is Tax Exempt,#N/A,0.00,0.00,0.00,0.00,256.48,0.00,ALL,4.000%,1.000%,4.000%,,9.000%,,475-1-111264,,,,,,,,,,,,
Subsidy,#N/A,dollar,$200 ,SubsidyTaxed,Account is not Tax Exempt,#N/A,200.00,16.50,9.99,0.82,0.00,0.00,N/A,6.250%,,1.000%,1.000%,8.250%,,635-1-153563,,,,,,,,,,,,
Subsidy,#N/A,dollar,$200 ,SubsidyTaxed,Account is Tax Exempt,#N/A,200.00,0.00,23.99,2.40,0.00,0.00,ALL,6.250%,1.750%,1.000%,1.000%,10.000%,,24-1-102072,,,,,,,,,,,,
Subsidy,#N/A,dollar,$200 ,TaxedUpToSubsidy,Account is not Tax Exempt,#N/A,200.00,0.00,85.97,29.30,0.00,0.00,N/A,6.000%,1.250%,,3.000%,10.250%,,3-1-118207,,285.97,29.30,200.00,181.41,104.56,18.59,10.72,A1t,285.97,29.31,315.28
PayrollDeduction,#N/A,dollar,$150 ,TaxedUpToSubsidy,Account is Tax Exempt,#N/A,150.00,0.00,45.49,16.13,0.00,0.00,ALL,6.250%,,1.375%,0.625%,8.250%,,183-1-119555,,195.49,16.13,150.00,150.00,45.94,0.00,3.75,A3,195.94,3.75,199.69
Subsidy,#N/A,percentage,100% up to $300,SubsidyTaxed,Account is not Tax Exempt,#N/A,285.23,27.62,0.00,0.00,0.00,0.00,N/A,4.225%,,5.454%,,9.679%,,298-1-57304,,,,,,,,,,,,
Subsidy,#N/A,percentage,100% up to $200,SubsidyTaxed,Account is Tax Exempt,#N/A,149.99,0.00,0.00,0.00,0.00,0.00,ALL,4.300%,1.000%,,,5.300%,,678-1-102178,,,,,,,,,,,,
Subsidy,#N/A,percentage,100% up to $300,TaxedUpToSubsidy,Account is not Tax Exempt,#N/A,223.99,22.40,0.00,0.00,0.00,0.00,N/A,6.250%,1.750%,1.000%,1.000%,10.000%,,704-1-139343,,223.99,22.40,223.99,223.99,0.00,22.40,0.00,A1t,223.99,22.40,246.39
Subsidy,#N/A,percentage,50% up to $100,TaxedUpToSubsidy,Account is Tax Exempt,#N/A,89.25,0.00,89.24,4.90,0.00,0.00,ALL,5.000%,0.500%,,,5.500%,,486-1-85502,,178.49,4.90,89.25,89.25,89.24,0.00,4.90,A3,178.49,4.90,183.39
SubsidyandPayrollDeduction,No,dollar,$125 ,SubsidyTaxed,Account is not Tax Exempt,Must be entered,125.00,9.07,0.00,0.00,21.74,1.57,N/A,5.750%,1.250%,,0.250%,7.250%,,553-1-114944,,,,,,,,,,,,
SubsidyandPayrollDeduction,No,dollar,$125 ,SubsidyTaxed,Account is not Tax Exempt,consumer paid,125.00,9.06,18.99,1.38,0.00,0.00,N/A,5.750%,1.250%,,0.250%,7.250%,,553-1-115173,,,,,,,,,,,,
SubsidyandPayrollDeduction,No,dollar,$50 ,SubsidyTaxed,Account is Tax Exempt,Must be entered,50.00,0.00,0.00,0.00,179.49,0.00,ALL,4.500%,0.367%,3.650%,,8.517%,,959-1-78964,,,,,,,,,,,,
